Откуда;Куда;Вес, кг
Рубцовск;Москва;10000
Рубцовск;Ярославль;10000
Рубцовск;Рязань;10000
Рубцовск;Санкт-Петербург;10000
Рубцовск;Казань;10000
Рубцовск;Нижний Новгород;10000
Рубцовск;Киров;10000
Рубцовск;Самара;10000
Рубцовск;Ростов-на-Дону;10000
Рубцовск;Волгоград;10000
Рубцовск;Воронеж;10000
Рубцовск;Краснодар;10000
Рубцовск;Саратов;10000
Рубцовск;Тольятти;10000
Рубцовск;Ижевск;10000
Рубцовск;Ульяновск;10000
Рубцовск;Астрахань;10000
Рубцовск;Набережные Челны;10000
Рубцовск;Пенза;10000
Рубцовск;Липецк;10000
Рубцовск;Екатеринбург;10000
Рубцовск;Челябинск;10000
Рубцовск;Уфа;10000
Рубцовск;Пермь;10000
Рубцовск;Тюмень;10000
Рубцовск;Махачкала;10000
Рубцовск;Оренбург;10000
Рубцовск;Новосибирск;10000
Рубцовск;Омск;10000
Рубцовск;Красноярск;10000
Рубцовск;Барнаул;10000
Рубцовск;Томск;10000
Рубцовск;Новокузнецк;10000
Рубцовск;Кемерово;10000
Рубцовск;Иркутск;10000
Рубцовск;Владивосток;10000
Рубцовск;Хабаровск;10000
Бийск;Москва;10000
Бийск;Ярославль;10000
Бийск;Рязань;10000
Бийск;Санкт-Петербург;10000
Бийск;Казань;10000
Бийск;Нижний Новгород;10000
Бийск;Киров;10000
Бийск;Самара;10000
Бийск;Ростов-на-Дону;10000
Бийск;Волгоград;10000
Бийск;Воронеж;10000
Бийск;Краснодар;10000
Бийск;Саратов;10000
Бийск;Тольятти;10000
Бийск;Ижевск;10000
Бийск;Ульяновск;10000
Бийск;Астрахань;10000
Бийск;Набережные Челны;10000
Бийск;Пенза;10000
Бийск;Липецк;10000
Бийск;Екатеринбург;10000
Бийск;Челябинск;10000
Бийск;Уфа;10000
Бийск;Пермь;10000
Бийск;Тюмень;10000
Бийск;Махачкала;10000
Бийск;Оренбург;10000
Бийск;Новосибирск;10000
Бийск;Омск;10000
Бийск;Красноярск;10000
Бийск;Барнаул;10000
Бийск;Томск;10000
Бийск;Новокузнецк;10000
Бийск;Кемерово;10000
Бийск;Иркутск;10000
Бийск;Владивосток;10000
Бийск;Хабаровск;10000
Архангельск;Москва;10000
Архангельск;Ярославль;10000
Архангельск;Рязань;10000
Архангельск;Санкт-Петербург;10000
Архангельск;Казань;10000
Архангельск;Нижний Новгород;10000
Архангельск;Киров;10000
Архангельск;Самара;10000
Архангельск;Ростов-на-Дону;10000
Архангельск;Волгоград;10000
Архангельск;Воронеж;10000
